id,btc_a,cc_t,cc_n
1,1wjtPamAZeGhRnZfhBAHHHjNvnHefd2V2,visa-electron,4175006996999270
2,1Js9BA1rV31hJFmN25rh8HWfrrYLXAyw9T,jcb,3587679584356527
3,1CoG9ciLQVQCnia5oXfXPSag4DQ4iYeSpd,diners-club-enroute,201876885481838
4,1GNvinVKGzPBVNZScNA2jKnDSBs4R7Y3rY,switch,564182038040530730
5,1DHTzZ7ypu3EzWtLBFiWoRo9svd1STMyrg,jcb,3555559025151828
6,1LWktvit3XBCJNrsji7rWj2qEa5XAmyJiC,jcb,3580083825272493
7,1J71SRGqUjhqPuHaZaG8wEtKdNRaKUiuzm,switch,491193585665108260
8,1Q5FAwgXbhRxP1uYpgwXMY67zFzUDkwutW,mastercard,5100174550682620
9,1QKy8RoeWR48nrwknBDZKfmetv1SGoAHX4,diners-club-carte-blanche,30343863921001
10,1NRDQBCtuDqm8QomrbSUyh2tGDRqoj3DU8,diners-club-carte-blanche,30559612937267
11,1HcqQ5Ys77sJm3ZJvxEAPLjCzB8LXVBTHU,visa,4937793997478
12,1EncEr6Vd5ywk96une6ZuWZN1yn3gBGZX9,jcb,3569513122126013
13,14bMXV3h1S6KxGHdeNB9Bz4mmzCZJdRvk5,jcb,3537645802098952
14,1Gi1ZJsBDqCztVjtcKsbH54Q3jCEDJh37N,bankcard,5602232103395992
15,1GnNjsnbBTw6w9WHnZ8apuxZZcqkhycT9a,jcb,3558941392668773
16,17y4HG6vY9wDZmeu53rK3pAKS8ErtaTsQC,jcb,3579496825654275
17,14reD6Z1kUjg8QC5Yaz199gYyXbm4QdFTo,jcb,3563252716889142
18,1ErM8yuF3ytzzxLy1uPvQuRveLBygxN15x,china-unionpay,56022230876188334
19,1FeH4KecDLZYXEcAut4Dj4ciojsBEB1pDb,mastercard,5100176279014886
20,14iPptCE59bQXGoczEsSkk4ejTyaKq9mxt,jcb,3531510529019283
21,15dT53UJarnbFpD2XjGvb5EBYsN7ThESDK,instapayment,6393755792545791
22,1Krg2YbF16fmnixrB8DGcU7cZ2BF2ovAxU,mastercard,5048379549278266
23,1EqieFUhQsdpxSbCtVbgaKnryww8nZyn1y,jcb,3539800677549765
24,12FtLW76aG8arUUPmqSjX2AR9KsXdHmxfF,maestro,502076268832599713
25,1HQEjYQRwW3LBRZfCzLWhbg8Y11RREzspx,jcb,3528260709265174
26,1LZCs92TeHXN9KCBKPXFgz6vFwBDpqU3nS,jcb,3584397382919015
27,19Jx3x3za4R4CzXM4MixjDQjzTFGHfq18X,china-unionpay,560223444690191584
28,1KByDrLkwz3vr8tZbgCsy6vYQvYo977bsR,instapayment,6371898552187788
29,1PaGdFCm9fUZGGyrVWtXwzKvnL5vmyDnk8,americanexpress,341139337261709
30,1HLCUvXRmNWGdz3q4o5Ts8KgkcY3kiBtwN,switch,4936481051391228
31,12nrx2abHJJhqjF8cdkvBtHTJAuNGmdxJg,mastercard,5468556142590111
32,12sxmYnPcADAXw1YkxdapRsft2PwHZke7A,maestro,50387077934280351
33,1GZ7QB7GUFSWnkBHmsj4C4EZYMWni6BVn4,mastercard,5363176326162847
34,12o8zrHx6snCPbtkoD9im4ozBtNkHRjeRV,visa-electron,4175005704373695
