client_identifier,email,country,bitcoin_address,credit_card_type
62,bbarham1p@wisc.edu,Netherlands,16qpYVt6YAAx4JYjzbA8SwTUHoTyB4twRF,jcb
105,linfante2w@telegraph.co.uk,Netherlands,13j6FKzrLgumLUqeYH4baeY5qZgiwGW5UC,jcb
109,mdory30@uiuc.edu,Netherlands,1HxV2jkyM3PXbsH4qGsVX3hwcAb4SMi4AD,jcb
165,hheinecke4k@altervista.org,Netherlands,1KgbP1KXt5xs2sBLudwt7SZM14NZXN2yNd,jcb
189,etsar58@ovh.net,Netherlands,1PktCHyic9G4aZu15Dd3N1PUf45wW4MmFs,jcb
194,igreated5d@live.com,Netherlands,12KTfvJwTfnJn3dFtZ8KaLycn5noXetTFo,jcb
199,esurcombe5i@bigcartel.com,United Kingdom,1GYuD7hkkRkCeVcx9tMXzQ1LwfAUcHUQfN,jcb
255,jknowler72@nba.com,Netherlands,1JtjCw3Nj42ZPgeFkgFJAPcVCyvt4sMLPh,jcb
293,lropartz84@meetup.com,Netherlands,1PJgSoTde2rSpfYRYpied1y35KVke7kvXo,jcb
296,hmcpake87@bravesites.com,Netherlands,1A3rYCZeBfy1V1W3ypcfVdZm6TCU3TFkLv,jcb
345,tcosten9k@unc.edu,United Kingdom,17AGnU1HVmvAt8gwZ4PoF8bGiPS4ARbRxi,jcb
379,tjahnelai@bbb.org,Netherlands,1HZN5ZVgPqK1iVLKVMxH658kZ3pBDBcEw,jcb
390,lblydeat@senate.gov,United Kingdom,1FpFASo8TTHYuefzybjiNyDfuaFmBGoGwn,jcb
414,jgammonsbh@goo.ne.jp,United Kingdom,14mRf7cFYsFjerWYsVWEvGN2zRM7tsLVpT,jcb
513,fcicceralee8@vk.com,Netherlands,18zM2XeTncgJJTm14LDhWbMeUE3nvA8NoD,jcb
529,chardikereo@posterous.com,Netherlands,14TyQs6ta2MhC2erewxosQTjmrvn2P4Gzo,jcb
577,ccolqueteg0@jiathis.com,Netherlands,12EgsYruxuyrwHi6bDC9FXqzGAmuUawHKH,jcb
601,pkynclgo@miibeian.gov.cn,United Kingdom,14GghoTqBDngp1V9PjrdPakZnNZi8VZ8F6,jcb
616,dgwilth3@mapquest.com,Netherlands,1H168tEGqoEeeNDaWmNjyEiubqTz3ZdoKG,jcb
628,ccasseldinehf@kickstarter.com,Netherlands,14EWQTXkWhfiQKkKn5JuD5h3EqzLatXbsQ,jcb
643,penglishhu@google.com.hk,Netherlands,1BqmYwtSwbG8qWUJyqn8TQPB4pWXAx3jMa,jcb
665,rklampig@mapquest.com,United Kingdom,12SF66BTEEAYca9V2JFcty3WmsSksTTsSN,jcb
691,bkidstounj6@senate.gov,Netherlands,1BMrJy7Ac4pAyq8ciBFfGhATAgcHXaPb6P,jcb
